,show_id,title,keyword
51,s87,Prey,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter. InternationalMovies Thrillers DavidKross HannoKoffler MariaEhrich ThomasSieben Movie
52,s89,Blood Brothers: Malcolm X & Muhammad Ali,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals. Documentaries SportsMovies MalcolmX MuhammadAli MarcusClarke Movie"
53,s91,Paradise Hills,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse. Sci-Fi&Fantasy Thrillers EmmaRoberts DanielleMacdonald Awkwafina AliceWaddington Movie"
54,s94,JJ+E,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers? Dramas InternationalMovies RomanticMovies ElsaÖhrn MustaphaAarab JonayPinedaSkallak AlexisAlmström Movie"
55,s95,Show Dogs,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale. Children&FamilyMovies Comedies WillArnett Ludacris NatashaLyonne RajaGosnell Movie
56,s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant. Documentaries Music&Musicals RonnieVanZandt GaryRossington AllenCollins StephenKijak Movie"
57,s104,Shadow Parties,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals. Dramas InternationalMovies Thrillers JideKosoko OmotolaJalade-Ekeinde YemiBlaq YemiAmodu Movie
58,s106,Angamaly Diaries,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law. Action&Adventure Comedies Dramas AntonyVarghese ReshmaRajan BinnyRinkyBenjamin LijoJosePellissery Movie"
59,s108,A Champion Heart,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected. Children&FamilyMovies Dramas MandyGrace DaviddeVos DonnaRusch DaviddeVos Movie"
60,s113,Worth,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events. Dramas MichaelKeaton StanleyTucci AmyRyan SaraColangelo Movie"
61,s114,Afterlife of the Party,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings. Comedies RomanticMovies VictoriaJustice MidoriFrancis RobynScott StephenHerek Movie
62,s115,Anjaam,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge. Dramas InternationalMovies Thrillers MadhuriDixit ShahRukhKhan TinnuAnand RahulRawail Movie"
63,s116,Bright Star,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse. Dramas RomanticMovies AbbieCornish BenWhishaw PaulSchneider JaneCampion Movie
64,s117,Dhanak,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation. Comedies Dramas IndependentMovies KrrishChhabria HetalGada VipinSharma NageshKukunoor Movie
65,s119,Gurgaon,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own. Dramas InternationalMovies Thrillers AkshayOberoi PankajTripathi RaginiKhanna ShankerRaman Movie"
66,s120,Here and There,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic. Dramas InternationalMovies RomanticMovies JanineGutierrez JCSantos VictorAnastacio JPHabac Movie"
67,s123,In the Cut,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime. Thrillers MegRyan MarkRuffalo JenniferJasonLeigh JaneCampion Movie"
68,s127,Shikara,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp. Dramas InternationalMovies RomanticMovies AadilKhan SadiaKhateeb ZainKhanDurrani VidhuVinodChopra Movie
69,s128,A Cinderella Story,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together? Children&FamilyMovies Comedies HilaryDuff ChadMichaelMurray JenniferCoolidge MarkRosman Movie
70,s129,Agatha Christie's Crooked House,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family. Dramas InternationalMovies Thrillers GlennClose TerenceStamp MaxIrons GillesPaquet-Brenner Movie"
71,s130,An Unfinished Life,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive. Dramas RobertRedford JenniferLopez MorganFreeman LasseHallström Movie"
72,s131,Barbie Big City Big Dreams,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends. Children&FamilyMovies Music&Musicals AmericaYoung AmberMay GiselleFernandez ScottPleydell-Pearce Movie"
73,s132,Blade Runner: The Final Cut,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."" Action&Adventure ClassicMovies CultMovies HarrisonFord RutgerHauer SeanYoung RidleyScott Movie"
74,s134,Chappie,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence. Action&Adventure Sci-Fi&Fantasy SharltoCopley HughJackman SigourneyWeaver NeillBlomkamp Movie"
75,s135,Clear and Present Danger,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel. Action&Adventure Dramas HarrisonFord WillemDafoe AnneArcher PhillipNoyce Movie"
76,s136,Cliffhanger,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers. Action&Adventure SylvesterStallone JohnLithgow MichaelRooker RennyHarlin Movie"
77,s137,Cold Mountain,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm. Dramas RomanticMovies JudeLaw NicoleKidman RenéeZellweger AnthonyMinghella Movie"
78,s138,Crocodile Dundee in Los Angeles,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel. Action&Adventure Comedies PaulHogan LindaKozlowski JereBurns SimonWincer Movie"
79,s139,Dear John,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together. Dramas RomanticMovies ChanningTatum AmandaSeyfried RichardJenkins LasseHallström Movie"
80,s140,Do the Right Thing,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy. ClassicMovies Comedies Dramas DannyAiello OssieDavis RubyDee SpikeLee Movie"
81,s141,"El patrón, radiografía de un crimen",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case. Dramas InternationalMovies Thrillers JoaquínFurriel LuisZiembrowski GuillermoPfening SebastiánSchindel Movie
82,s142,Extraction,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot. Action&Adventure BruceWillis KellanLutz GinaCarano StevenC.Miller Movie"
83,s143,Freedom Writers,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives. Dramas HilarySwank PatrickDempsey ScottGlenn RichardLaGravenese Movie"
84,s144,Green Lantern,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat. Action&Adventure Sci-Fi&Fantasy RyanReynolds BlakeLively PeterSarsgaard MartinCampbell Movie
85,s145,House Party,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another. Comedies CultMovies ChristopherReid ChristopherMartin RobinHarris ReginaldHudlin Movie"
86,s146,House Party 2,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash. Comedies CultMovies Music&Musicals ChristopherReid ChristopherMartin MartinLawrence GeorgeJackson,DougMcHenry Movie"
87,s147,House Party 3,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications. Comedies Music&Musicals ChristopherReid ChristopherMartin TishaCampbell EricMeza Movie"
88,s149,HQ Barbers,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business. TVShows HakeemKae-Kazim ChiomaOmeruah OrukotanAdejola GerhardMostert TV Show"
89,s150,I Got the Hook Up,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van. Action&Adventure Comedies MasterP AnthonyJohnson GretchenPalmer MichaelMartin Movie"
90,s151,In Too Deep,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder. Thrillers OmarEpps LLCoolJ NiaLong MichaelRymer Movie"
91,s152,Initial D,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel. Action&Adventure InternationalMovies JayChou AnneSuzuki EdisonChen AndrewLauWai-keung,AlanMak Movie"
92,s153,Janoskians: Untold and Untrue,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube. Comedies JaiBrooks LukeBrooks JamesYammouni BrettWeiner Movie
93,s156,Labyrinth,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin. Action&Adventure Children&FamilyMovies CultMovies DavidBowie JenniferConnelly FrankOz JimHenson Movie"
94,s157,Letters to Juliet,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance. Comedies Dramas RomanticMovies AmandaSeyfried ChristopherEgan GaelGarcíaBernal GaryWinick Movie"
95,s158,Level 16,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape. Sci-Fi&Fantasy Thrillers KatieDouglas CelinaMartin PeterOuterbridge DanishkaEsterhazy Movie"
96,s159,Love Don't Cost a Thing,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend. Comedies RomanticMovies NickCannon ChristinaMilian KenanThompson TroyByer Movie
97,s160,Love in a Puff,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections. Comedies Dramas InternationalMovies MiriamChinWahYeung ShawnYue SinghHartihanBitto PangHo-cheung Movie"
98,s162,Mars Attacks!,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace. Comedies CultMovies Sci-Fi&Fantasy JackNicholson GlennClose AnnetteBening TimBurton Movie"
99,s163,Marshall,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer. Dramas ChadwickBoseman JoshGad KateHudson ReginaldHudlin Movie"
100,s164,My Boss's Daughter,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush. Comedies RomanticMovies AshtonKutcher TaraReid JeffreyTambor DavidZucker Movie"
101,s165,Mystery Men,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears. Action&Adventure Comedies BenStiller HankAzaria WilliamH.Macy KinkaUsher Movie
102,s167,Once Upon a Time in America,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City. ClassicMovies Dramas RobertDeNiro JamesWoods ElizabethMcGovern SergioLeone Movie
103,s168,Open Season 2,"Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity. Children&FamilyMovies Comedies JoelMcHale MikeEpps JaneKrakowski MatthewO'Callaghan,ToddWilderman Movie"
104,s169,Osmosis Jones,"Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms. Action&Adventure Children&FamilyMovies Comedies ChrisRock LaurenceFishburne DavidHydePierce BobbyFarrelly,PeterFarrelly Movie"
105,s170,Poseidon,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival. Action&Adventure Dramas JoshLucas KurtRussell JacindaBarrett WolfgangPetersen Movie"
106,s171,Rhyme & Reason,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts. Documentaries Music&Musicals Too$hort B-Real KurtisBlow PeterSpirer Movie"
107,s172,Same Kind of Different as Me,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story. Dramas Faith&Spirituality GregKinnear RenéeZellweger DjimonHounsou MichaelCarney Movie
108,s173,School of Rock,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll. Comedies Music&Musicals JackBlack JoanCusack MikeWhite RichardLinklater Movie"
109,s174,Snervous Tyler Oakley,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour. Documentaries LGBTQMovies TylerOakley AmyRice Movie"
110,s175,Tears of the Sun,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care. Action&Adventure Dramas BruceWillis MonicaBellucci ColeHauser AntoineFuqua Movie"
111,s176,The Blue Lagoon,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise. Dramas RomanticMovies BrookeShields ChristopherAtkins LeoMcKern RandalKleiser Movie"
112,s177,The Golden Child,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers. Action&Adventure Comedies EddieMurphy J.L.Reate CharlesDance MichaelRitchie Movie
113,s178,The Guns of Navarone,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel. Action&Adventure ClassicMovies GregoryPeck DavidNiven AnthonyQuinn J.LeeThompson Movie"
114,s179,The Interview,"Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un. Action&Adventure Comedies JamesFranco SethRogen LizzyCaplan EvanGoldberg,SethRogen Movie"
115,s180,The Nutty Professor,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance. Comedies RomanticMovies EddieMurphy JadaPinkettSmith JamesCoburn TomShadyac Movie"
116,s181,The Nutty Professor II: The Klumps,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation. Comedies RomanticMovies EddieMurphy JanetJackson LarryMiller PeterSegal Movie"
117,s183,Welcome Home Roscoe Jenkins,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become. Comedies MartinLawrence JamesEarlJones JoyBryant MalcolmD.Lee Movie"
118,s184,In the Line of Fire,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy. Action&Adventure ClassicMovies ClintEastwood JohnMalkovich ReneRusso WolfgangPetersen Movie
119,s189,2 Alone in Paris,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth. Comedies InternationalMovies RamzyBedia ÉricJudor BenoîtMagimel RamzyBedia,ÉricJudor Movie"
120,s191,Thimmarusu,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit. Dramas InternationalMovies SatyaDev PriyankaJawalkar Brahmaji SharanKoppisetty Movie"
121,s192,Wind River,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation. Dramas IndependentMovies JeremyRenner ElizabethOlsen JonBernthal TaylorSheridan Movie
